\HA01KHI KMB 0420210205521     0000                                          0000
L1KMB-COM-14AB        AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L4KMB-15W-005         KMB-15W-005    KMB-15W-005079 KMB-15W-005AAOX35063-0761          00000200000000001200000BRLFOB              0000000288000
L1KMB-2BE-003         AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L2KMB-2BE-003         KMB-2BE-003    ZR900C-G3A1HA       0000300020
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003001 OTPU6238450         000000048000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003001 KMB-2BE-003AAPI41073-0788   60P    00000050000000558020000BRLFOB              0000064023300
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003002 OTPU6238450         000000048000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003002 KMB-2BE-003AAPJ41073-0788   60P    00000050000000558020000BRLFOB              0000064023300
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003003 OTPU6238450         000000048000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003003 KMB-2BE-003AAPK41073-0788   60P    00000050000000558020000BRLFOB              0000064023300
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003004 OTPU6238450         000000048000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003004 KMB-2BE-003AAPL41073-0788   60P    00000050000000558020000BRLFOB              0000064023300
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003005 OTPU6238450         000000042000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003005 KMB-2BE-003AAPS41092-5436   60P    00000050000000449260000BRLFOB              0000050610200
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003006 OTPU6238450         000000042000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003006 KMB-2BE-003AAPT41092-5436   60P    00000050000000449260000BRLFOB              0000050610200
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003007 OTPU6238450         000000042000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003007 KMB-2BE-003AAPU41092-5436   60P    00000050000000449260000BRLFOB              0000050610200
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003008 OTPU6238450         000000042000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003008 KMB-2BE-003AAPV41092-5436   60P    00000050000000449260000BRLFOB              0000050610200
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003009 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003009 KMB-2BE-003AAKQ32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003010 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003010 KMB-2BE-003AAKR32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003011 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003011 KMB-2BE-003AAKS32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003012 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003012 KMB-2BE-003AAKT32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003013 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003013 KMB-2BE-003AAKU32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003014 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003014 KMB-2BE-003AAKV32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003015 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003015 KMB-2BE-003AAKW32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003016 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003016 KMB-2BE-003AAKX32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003017 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003017 KMB-2BE-003AAKY32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003018 SEGU9906952         000000058001110011100064
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003018 KMB-2BE-003AAKZ32160-1869  1A10    00000020000001168240000BRLFOB              0000163070000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003019 SEGU9906952         000000186000820011300099
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003019 KMB-2BE-003AARA44071-1290   59P    00000200000000385420000BRLFOB              0000039500000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003019 KMB-2BE-003AARB44071-1291   59P    00000200000000385420000BRLFOB              0000039900000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003020 SEGU9906952         000000065001000012000079
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003020 KMB-2BE-003AAQY44037-0172   18R    00000200000000123160000BRLFOB              0000015130000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003020 KMB-2BE-003AAQZ44039-0182   18R    00000200000000095800000BRLFOB              0000006500000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003021 SEGU9906952         000000074000570011000060
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003021 KMB-2BE-003AARC45014-0601    10    00000200000000260790000BRLFOB              0000030200000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 SEGU9906952         000000058001110011100110
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAC11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAD11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAE11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAF11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAG11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAH11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAI11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAJ11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAK11010-0952          00000020000000080090000BRLFOB              0000016410100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003022 KMB-2BE-003AAAL11010-0952          00000020000000080090000BRLFOB              0000016410100
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003023 OTPU6238450         000000097000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003023 KMB-2BE-003AAAB11005-0686  1A      00000200000000258420000BRLFOB              0000037608000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003024 OTPU6238450         000000060000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003024 KMB-2BE-003AAOT39178-0336          00000040000001628610000BRLFOB              0000092551400
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003025 OTPU6238450         000000059000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003025 KMB-2BE-003AAOU39178-0336          00000040000001628610000BRLFOB              0000092551400
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003026 OTPU6238450         000000059000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003026 KMB-2BE-003AAOV39178-0336          00000040000001628610000BRLFOB              0000092551400
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003027 OTPU6238450         000000060000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003027 KMB-2BE-003AAOW39178-0336          00000040000001628610000BRLFOB              0000092551400
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003028 OTPU6238450         000000060000550011100063
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003028 KMB-2BE-003AAOX39178-0336          00000040000001628610000BRLFOB              0000092551400
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003029 SEGU9906952         000000062001110011100048
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003029 KMB-2BE-003AAHH18091-1143          00000200000000325370000BRLFOB              0000019100000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 OTPU6238450         000000415001110011100110
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACB12032-0018  1A      00001600000000003880000BRLFOB              0000000132200
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACT13081-0684          00000040000000345070000BRLFOB              0000041600000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACU13081-0684          00000040000000345070000BRLFOB              0000041600000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACV13081-0684          00000040000000345070000BRLFOB              0000041600000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACW13081-0684          00000040000000345070000BRLFOB              0000041600000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AACX13081-0684          00000040000000345070000BRLFOB              0000041600000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AADK13102-0075          00000200000000012670000BRLFOB              0000001150000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAED13239-0574          00000200000000184060000BRLFOB              0000006250000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEE13242-0141          00000200000000017410000BRLFOB              0000003837000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEV13341-0647          00000040000000224290000BRLFOB              0000024345000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEW13341-0647          00000040000000224290000BRLFOB              0000024345000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEX13341-0647          00000040000000224290000BRLFOB              0000024345000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEY13341-0647          00000040000000224290000BRLFOB              0000024345000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAEZ13341-0647          00000040000000224290000BRLFOB              0000024345000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFA13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFB13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFC13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFD13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFE13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFF13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFG13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFH13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAFJ13342-0638          00000020000000284930000BRLFOB              0000036114000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAGB14093-0618          00000200000000003520000BRLFOB              0000000292000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAGU16085-0609          00000200000000032590000BRLFOB              0000004350000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAHD16160-0796          00000200000000022180000BRLFOB              0000002330500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAHP21066-0760          00000200000000048080000BRLFOB              0000002655000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAIW23006-0019          00000050000000040620000BRLFOB              0000000949000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAIX23006-0019          00000050000000040620000BRLFOB              0000000949000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAIY23006-0019          00000050000000040620000BRLFOB              0000000949000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAJB23037-0436          00000200000000031830000BRLFOB              0000000800000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAJC23037-0436          00000200000000031830000BRLFOB              0000000800000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAJD23037-0437          00000200000000031830000BRLFOB              0000000800000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAJE23037-0437          00000200000000031830000BRLFOB              0000000800000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAJR26011-0971          00000200000000009900000BRLFOB              0000000517000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAKE27048-5162          00000100000000128530000BRLFOB              0000005340000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAKF27048-5162          00000100000000128530000BRLFOB              0000005340000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAME35023-0432          00000200000000005800000BRLFOB              0000000694000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAPZ42036-0815          00000200000000022840000BRLFOB              0000004104000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQC42041-0163          00000100000000050900000BRLFOB              0000008831000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQD42041-0163          00000100000000050900000BRLFOB              0000008831000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQK43015-0664          00000200000000052110000BRLFOB              0000002004000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQL43041-0483    DJ    00000100000000157490000BRLFOB              0000010416000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQM43041-0483    DJ    00000100000000157490000BRLFOB              0000010416000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQN43041-0484    DJ    00000100000000157490000BRLFOB              0000010430000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAQO43041-0484    DJ    00000100000000157490000BRLFOB              0000010430000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AARI46076-0139          00000100000000040610000BRLFOB              0000003480000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AARJ46076-0139          00000100000000040610000BRLFOB              0000003480000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AARL46091-0518          00000200000000097950000BRLFOB              0000002700000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AARS49016-0647          00000200000000008780000BRLFOB              0000000935000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AASH51049-0759          00000100000000072760000BRLFOB              0000004112000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AASI51049-0759          00000100000000072760000BRLFOB              0000004112000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AATS55020-2181          00000200000000056790000BRLFOB              0000002110000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAUY92005-0842          00000200000000007630000BRLFOB              0000000572500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAUZ92005-0842          00000200000000007630000BRLFOB              0000000572500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003AAVA92005-0846          00000200000000011650000BRLFOB              0000000962500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003ABEY92171-0729          00000800000000002700000BRLFOB              0000000173700
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003ABFI92173-0284          00000200000000008520000BRLFOB              0000000547500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003030 KMB-2BE-003ABGE92173-2298          00000400000000008310000BRLFOB              0000000470000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 BMOU9311643         000000146001110011100159
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAJA23025-0381          00000200000000074160000BRLFOB              0000002262000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAJM25031-0894          00000050000000410340000BRLFOB              0000004950000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAJN25031-0894          00000050000000410340000BRLFOB              0000004950000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAJO25031-0894          00000050000000410340000BRLFOB              0000004950000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAJP25031-0894          00000050000000410340000BRLFOB              0000004950000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAKJ32097-0046          00000050000000017660000BRLFOB              0000004020000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAKK32097-0046          00000050000000017660000BRLFOB              0000004020000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAKL32097-0046          00000050000000017660000BRLFOB              0000004020000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAKM32097-0046          00000050000000017660000BRLFOB              0000004020000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAMC35019-0662          00000100000000021720000BRLFOB              0000003468000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAMF35023-0447          00000100000000012220000BRLFOB              0000002741100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAMG35023-0447          00000100000000012220000BRLFOB              0000002741100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAPB39193-0054          00000200000000012840000BRLFOB              0000000610000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AAPY42033-0028          00000200000000049120000BRLFOB              0000008200000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AATL54011-0624          00000200000000019310000BRLFOB              0000002728000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AATQ55020-2180          00000100000000088040000BRLFOB              0000002930000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003AATR55020-2180          00000100000000088040000BRLFOB              0000002930000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003ABIO26031-2755          00000040000000526420000BRLFOB              0000022190000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003ABIP26031-2755          00000040000000526420000BRLFOB              0000022190000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003ABIQ26031-2755          00000040000000526420000BRLFOB              0000022190000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003ABIR26031-2755          00000040000000526420000BRLFOB              0000022190000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003031 KMB-2BE-003ABIS26031-2755          00000040000000526420000BRLFOB              0000022190000
L3KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 OTPU6238450         000000399001110011100108
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAAN11056-0238          00000200000000000610000BRLFOB              0000000032900
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAAO11057-0299          00000200000000002540000BRLFOB              0000000358800
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACA12032-0009          00001600000000003750000BRLFOB              0000000153800
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACG120CA0610           00000200000000000130000BRLFOB              0000000045100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACH120CA0645           00000200000000000290000BRLFOB              0000000112700
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACI120CB0510           00000400000000000130000BRLFOB              0000000028800
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACJ120CC0830           00000800000000000670000BRLFOB              0000000157400
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACN13003-0732          00000800000000003730000BRLFOB              0000000031000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACO13004-0722          00000800000000001900000BRLFOB              0000000032000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACP13005-0728          00000800000000001690000BRLFOB              0000000027000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACQ13041-0559  1A      00000200000000026960000BRLFOB              0000002943000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACY130BA0512           00000400000000000090000BRLFOB              0000000033600
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AACZ130BA0610           00000200000000000100000BRLFOB              0000000051000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADA130BA0612           00000400000000000100000BRLFOB              0000000056000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADB130BA0614           00000200000000000100000BRLFOB              0000000058000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADC130BA0622           00000400000000000120000BRLFOB              0000000072000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADD130BA0622           00000400000000000120000BRLFOB              0000000072000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADE130BA0625           00000800000000000120000BRLFOB              0000000077000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADF130BA0635           00000400000000000160000BRLFOB              0000000100000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADI130CA0610           00001400000000000160000BRLFOB              0000000053600
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADJ130CA0618           00000400000000000130000BRLFOB              0000000067000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADL13107-0157          00000200000000001400000BRLFOB              0000000153200
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADM13107-0214          00000200000000005300000BRLFOB              0000000685600
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADN13107-1376          00000200000000002110000BRLFOB              0000000221000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADO13107-1377          00000200000000001180000BRLFOB              0000000180000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADP13140-0061          00000200000000030650000BRLFOB              0000000865000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADQ13140-0062          00000400000000029490000BRLFOB              0000001165000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADS13151-0580          00000200000000015590000BRLFOB              0000000540000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AADV13168-0115          00000200000000015640000BRLFOB              0000000550000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEA13236-0068          00000200000000004220000BRLFOB              0000000149500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEF13272-0698          00000200000000002920000BRLFOB              0000001397300
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEG13272-0699          00000200000000000330000BRLFOB              0000000060800
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEH13272-2349          00000200000000002820000BRLFOB              0000000420000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEI132BA0510           00000200000000000090000BRLFOB              0000000027000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEJ132BA0610           00000200000000000100000BRLFOB              0000000041500
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEK132BA0612           00000240000000000100000BRLFOB              0000000045000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEL132BA0612           00000240000000000100000BRLFOB              0000000045000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEM132BA0612           00000120000000000100000BRLFOB              0000000045000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEN132BA0625           00000400000000000140000BRLFOB              0000000067100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEP132BC0614           00000400000000000180000BRLFOB              0000000048800
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAER132BC0620           00000400000000000210000BRLFOB              0000000058000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAES132BC0660           00000600000000000480000BRLFOB              0000000126100
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAET132BC0695           00000200000000000690000BRLFOB              0000000186000
L4KMB-2BE-003         KMB-2BE-003    KMB-2BE-003032 KMB-2BE-003AAEU132BC0830           00000200000000000600000BRLFOB              0000000143900
